id,address,brokers,city,country,county,countyFIPS,dateAdded,dateUpdated,descriptions,domains,features,floorSizeValue,floorSizeUnit,geoLocation,imageURLs,keys,latitude,legalDescription,longitude,lotSizeValue,lotSizeUnit,mostRecentBrokerAgent,mostRecentBrokerCompany,mostRecentBrokerDateSeen,mostRecentPriceAmount.1,mostRecentPriceDomain.1,mostRecentPricePerSquareFoot,mostRecentPriceDate.1,mostRecentPriceFirstDateSeen.1,mostRecentStatus,mostRecentStatusDate,mostRecentStatusFirstDateSeen,mlsNumber,neighborhoods,numBathroom,numBedroom,numFloor,parking,people,postalCode,prices,propertyType,province,subdivision,sourceURLs,statuses,transactions,yearBuilt
economy,language,news,travel,capital,itself,233.72,2025-06-18,2020-10-25,car,consumer,identify,3880.01,3211.14,letter,appear,moment,36.734909,add,-56.457705,1057.04,6291.2,face,treatment,2024-12-19,416631.65,742868.05,77303.13,2021-03-16,2023-04-01,visit,2025-04-30,2022-04-02,3,popular,2,6,8,speak,want,all,263357.13,whose,agree,or,stage,thank,imagine,1987
color,mission,fish,huge,this,street,257.27,2021-03-01,2022-07-16,pull,phone,life,7740.98,3838.96,present,walk,dream,-60.956719,modern,70.035362,2338.79,3468.67,share,we,2024-06-06,494595.4,869134.81,127128.93,2023-03-22,2023-01-03,tough,2022-10-13,2024-08-29,4,tonight,6,3,1,represent,Congress,physical,704636.45,future,door,bring,close,foot,himself,1956
political,in,present,personal,how,suffer,771.46,2021-08-03,2022-12-31,former,deep,government,5506.95,1310.18,hospital,purpose,respond,0.740723,toward,104.40962,5175.67,1498.47,mind,event,2023-09-19,109930.64,731967.23,307689.47,2022-10-19,2025-03-03,floor,2023-05-19,2021-04-23,1,vote,3,4,6,she,add,finish,464731.48,would,section,mind,another,record,alone,1960
simply,various,daughter,store,else,side,285.45,2022-03-07,2022-11-04,and,clear,budget,8807.08,8360.29,later,specific,mission,-48.931052,scene,-72.202374,4608.21,992.83,indicate,history,2024-06-02,887323.18,587898.77,262687.78,2022-09-26,2020-08-27,left,2024-09-23,2025-03-10,2,learn,9,2,5,support,between,site,660923.05,nothing,enough,gun,last,plant,idea,1973
ahead,light,art,partner,can,collection,981.2,2024-11-30,2023-02-09,thought,now,lead,2766.19,5206.29,law,television,theory,22.867738,house,90.08248,8282.85,5633.15,great,myself,2025-07-14,244875.97,163784.33,421426.36,2025-07-20,2023-12-02,difference,2023-06-18,2024-12-09,2,fill,6,9,1,girl,person,pretty,748315.66,finally,various,know,part,among,music,2014
after,audience,offer,range,name,ahead,275.84,2024-02-28,2023-06-10,stop,doctor,cover,331.9,4360.96,change,population,tell,79.156009,myself,20.391474,564.93,9839.31,day,couple,2021-04-18,135181.64,328325.41,461506.69,2021-12-03,2023-12-28,bad,2023-08-01,2023-06-23,10,production,6,4,9,do,none,other,824181.75,imagine,free,do,deal,set,fund,1961
individual,small,beautiful,deal,career,wife,840.48,2021-08-24,2021-12-05,owner,discuss,perform,7429.11,6982.24,network,camera,artist,30.471319,artist,55.170648,2256.45,5337.69,area,really,2024-08-10,640826.42,552842.3,966613.97,2021-12-17,2020-09-14,several,2021-08-02,2020-09-22,4,have,1,4,3,charge,on,community,780186.0,same,will,guess,cost,oil,find,2021
region,free,product,lot,Republican,raise,427.07,2024-02-03,2023-06-23,bag,reason,indeed,4775.62,1046.52,whatever,happy,five,24.448617,allow,119.718331,9518.38,6387.27,hard,painting,2024-11-01,204212.14,917050.0,27830.59,2024-09-02,2021-11-23,stuff,2020-08-01,2022-06-22,10,little,3,8,8,since,good,different,780723.47,network,approach,until,realize,meet,financial,2017
military,heart,big,weight,he,base,870.32,2024-11-05,2024-08-01,range,visit,plan,257.28,8006.32,head,range,eat,86.368009,form,163.492649,6266.8,4504.04,loss,list,2022-09-19,803608.82,865009.76,241280.54,2022-09-17,2022-08-15,account,2022-01-28,2023-12-11,8,already,2,3,4,professional,player,build,973483.88,green,similar,nice,test,product,might,1919
suddenly,chair,without,go,prevent,position,123.11,2023-01-03,2023-04-27,win,walk,like,965.15,5895.56,feeling,money,green,-78.811291,increase,137.422096,2751.39,5147.75,east,sell,2022-07-25,564485.18,535858.49,16035.24,2024-04-22,2025-01-17,let,2023-01-05,2022-01-29,7,player,3,2,3,be,much,sea,911631.13,soon,claim,especially,model,popular,drug,1919
threat,sound,she,law,receive,or,886.42,2022-01-07,2025-03-19,better,scene,up,1619.8,7657.43,conference,what,year,6.703024,force,78.528649,3042.57,3975.04,above,her,2024-04-01,45879.75,601172.09,857434.64,2025-06-15,2023-01-29,respond,2022-01-27,2022-03-31,8,identify,5,7,8,paper,along,behavior,595292.68,put,various,wait,window,outside,detail,1980
coach,thought,let,vote,lay,rest,940.11,2024-07-14,2024-09-01,room,ahead,offer,2872.6,9438.26,than,second,clearly,36.755134,what,83.972623,7127.75,2955.92,simple,ten,2023-09-10,383568.53,251973.34,998387.49,2023-02-05,2024-07-05,your,2024-11-29,2020-08-23,3,draw,6,2,10,after,page,leave,749175.01,else,whom,common,often,away,between,1971
on,reality,open,employee,condition,figure,279.08,2024-06-26,2024-02-28,leave,consumer,city,5616.69,100.8,model,central,build,56.536929,raise,81.139355,9550.56,5374.11,should,necessary,2022-07-14,803724.69,944355.3,598698.51,2022-03-21,2022-01-08,action,2020-10-14,2025-03-03,2,million,10,3,1,contain,remember,call,92701.73,daughter,education,stock,difference,source,guess,1969
adult,within,edge,research,public,forward,94.22,2021-08-26,2024-02-14,minute,today,risk,9964.37,891.25,claim,place,free,-60.32272,style,-111.581917,8614.86,2735.02,appear,likely,2022-11-13,547648.88,29201.97,57332.6,2023-01-04,2025-03-19,product,2024-01-29,2024-06-30,6,name,5,7,5,but,send,yourself,142186.25,executive,particularly,couple,life,whether,long,1962
general,investment,almost,speak,job,letter,716.55,2023-07-12,2023-07-17,environment,mind,how,5308.49,5987.36,generation,describe,attorney,44.503838,church,-139.688039,2775.54,8228.6,special,wind,2022-04-20,167924.04,855058.3,485575.49,2022-05-03,2021-06-24,series,2023-09-03,2021-02-09,10,condition,3,8,10,sound,consumer,film,691570.3,several,speech,structure,idea,glass,market,1962
trial,standard,bag,strong,put,open,342.54,2024-11-11,2020-09-04,partner,us,ask,2461.12,6932.4,American,gas,back,-40.796975,safe,63.694616,984.56,8778.39,national,executive,2024-11-14,789856.72,272103.46,844832.01,2020-08-15,2022-09-21,region,2024-04-06,2023-01-17,2,admit,10,5,8,executive,long,by,987107.39,likely,million,generation,really,difference,until,1951
special,option,century,stop,box,report,172.24,2023-05-12,2021-03-03,somebody,name,must,7087.14,4056.71,strong,deep,realize,-20.001945,somebody,86.268168,402.82,8514.86,start,way,2021-08-02,153984.46,33518.15,374701.08,2023-12-01,2021-01-11,foot,2021-11-09,2021-07-27,6,up,7,4,1,condition,week,seek,741745.23,there,develop,beyond,type,church,kitchen,2004
nearly,want,office,record,management,similar,252.58,2022-03-02,2023-10-13,up,threat,product,3156.85,2875.96,if,above,research,-63.413946,rise,-71.147135,386.73,1795.08,require,opportunity,2022-11-30,379089.59,552984.13,757853.68,2020-12-10,2021-07-18,point,2022-09-24,2023-01-20,9,second,8,4,10,each,role,enjoy,905753.79,top,operation,finally,together,mouth,ok,1964
school,similar,ten,others,him,but,747.64,2021-12-12,2023-11-05,hold,election,human,9627.83,8308.29,him,course,apply,-70.365214,defense,-159.234674,3859.45,6300.96,reason,hard,2024-06-22,806090.21,250063.52,177895.14,2021-09-29,2024-12-15,first,2024-07-26,2023-02-18,7,case,1,1,6,open,reflect,themselves,577046.74,spring,detail,year,opportunity,population,cold,1916
save,American,where,within,summer,brother,107.14,2025-04-08,2021-02-09,method,watch,knowledge,828.32,8565.78,music,knowledge,local,-88.999327,explain,167.972513,3556.78,869.25,class,process,2025-04-13,174147.16,59183.67,387812.2,2022-11-01,2022-04-21,front,2021-08-18,2024-11-26,8,word,1,3,8,song,speech,environmental,37052.23,professional,bar,know,add,statement,dream,1971
whether,worker,executive,often,detail,pretty,510.33,2023-01-21,2021-05-09,gun,great,meeting,8126.57,7240.41,old,performance,figure,25.701812,important,-8.217096,6901.87,1741.65,whose,vote,2025-04-15,177994.43,240452.2,273598.25,2022-12-17,2022-05-02,customer,2024-04-20,2024-01-13,8,play,4,8,5,include,increase,out,953827.31,table,property,throw,who,magazine,region,2018
movie,what,less,daughter,board,assume,600.67,2023-03-30,2024-01-02,feel,ahead,it,8299.71,1074.8,thought,police,born,51.581585,quality,-115.203221,313.97,4927.52,green,we,2023-11-11,678352.5,944129.44,938232.3,2022-02-22,2022-10-22,state,2024-08-04,2022-01-01,8,organization,1,4,7,around,away,some,745792.48,total,prove,marriage,trial,hot,message,1943
spend,system,report,cold,suggest,character,32.83,2023-01-09,2024-12-13,enough,night,teacher,8896.47,3633.11,clear,store,learn,25.182309,drive,55.46343,6782.76,7468.29,year,stuff,2025-06-28,324923.84,81508.89,50412.29,2021-10-13,2023-11-18,specific,2023-09-01,2025-05-30,6,somebody,9,3,9,land,least,often,505815.34,surface,debate,direction,part,list,born,1918
cell,democratic,black,finally,age,leave,693.29,2021-02-02,2024-01-06,stand,now,this,2190.27,9300.2,base,or,at,59.786536,approach,-48.668932,1155.15,9024.7,spend,environment,2024-07-06,315534.52,780888.32,217456.82,2023-12-01,2022-10-22,series,2020-10-06,2024-09-21,5,official,8,10,10,reveal,support,serious,602099.96,century,quality,wear,nice,daughter,candidate,2020
piece,team,production,hard,career,necessary,400.99,2023-02-05,2022-10-19,always,here,red,4451.68,9375.8,structure,apply,much,-41.579824,in,-45.475069,8506.53,6790.34,right,bank,2021-04-17,385027.32,682879.62,147871.49,2022-03-25,2020-08-07,rest,2022-04-30,2023-04-09,1,agreement,9,10,8,leave,name,course,849641.17,hour,lead,employee,international,experience,add,1905
serve,lay,college,behind,debate,administration,952.41,2020-12-15,2021-09-24,sister,trip,only,9694.33,3592.72,ten,best,fly,-50.949661,often,-66.068187,6177.86,1231.2,front,mother,2022-08-11,415722.32,449947.71,444255.6,2021-02-19,2023-10-11,the,2021-10-31,2023-11-24,10,no,6,4,5,study,somebody,letter,477723.28,allow,since,while,fill,son,than,1936
bit,carry,arrive,wide,by,on,686.47,2021-02-27,2023-05-13,both,past,just,5898.87,6105.52,pattern,through,argue,-5.006936,gun,142.796993,8075.37,2640.57,kind,own,2023-01-17,917531.92,14739.2,342819.27,2024-08-17,2025-03-17,whether,2020-07-29,2024-08-06,10,man,9,6,1,glass,simple,knowledge,836895.28,just,her,budget,type,best,better,2019
pick,camera,outside,administration,message,draw,509.62,2023-10-23,2023-07-18,third,cover,any,686.86,2774.99,five,measure,western,36.362157,kitchen,-133.121192,1201.42,592.85,free,person,2025-03-04,653274.63,594320.84,414327.57,2021-10-26,2022-02-28,wait,2020-08-31,2022-05-17,3,less,2,1,4,type,wind,almost,386112.82,ever,relate,consumer,radio,him,live,1999
Mrs,term,budget,for,town,area,771.84,2022-08-06,2025-01-14,great,performance,trade,9231.72,5211.32,just,hold,total,43.10293,plant,102.488936,9256.92,2002.79,military,final,2021-11-06,170728.86,678162.19,346379.37,2023-05-11,2023-04-22,although,2025-02-15,2024-07-28,4,me,2,4,5,dark,peace,meeting,177697.97,suffer,information,state,at,others,enough,1944
most,less,majority,evening,drop,protect,788.3,2024-02-01,2025-03-02,say,yet,behavior,1011.66,3231.72,experience,road,least,-5.647547,total,130.785517,6610.36,3350.89,hair,inside,2022-03-04,276514.87,355673.98,54381.92,2022-11-18,2022-11-16,movement,2025-02-15,2025-03-12,10,throw,7,5,7,his,finally,future,955588.39,environment,daughter,article,around,partner,own,2008
increase,case,record,while,bad,of,284.98,2024-04-07,2025-06-11,establish,agency,score,3189.8,2411.38,than,way,idea,51.714875,point,-112.618531,6584.65,6088.47,direction,operation,2022-02-10,397049.12,982651.86,361133.47,2021-05-01,2025-02-22,those,2023-12-14,2023-02-22,9,push,9,6,9,charge,the,certainly,821430.61,herself,experience,remember,executive,her,too,2013
think,century,story,collection,believe,forget,508.26,2022-07-05,2020-10-13,tonight,sing,expert,9631.11,9330.39,open,skill,manager,78.023473,lot,-0.857124,1245.23,2520.6,evidence,structure,2025-07-21,473458.78,239734.51,570281.83,2023-08-21,2021-06-03,energy,2023-12-01,2020-12-04,10,ever,1,9,4,effect,piece,another,986594.28,partner,statement,site,help,Mrs,onto,1922
go,phone,information,seek,budget,sound,267.14,2020-09-22,2023-03-23,stop,where,high,4613.84,1505.14,resource,black,main,-46.182749,research,37.98922,7679.05,4704.32,school,trouble,2024-03-19,728153.32,384484.95,118952.29,2020-09-19,2021-11-22,write,2020-11-29,2025-05-12,5,evidence,6,10,10,almost,feeling,attack,115221.37,pressure,hard,book,common,place,weight,1970
idea,final,them,relationship,send,question,852.76,2021-06-13,2021-02-15,admit,mean,well,786.98,194.25,dinner,soon,stand,-32.481979,garden,-17.805715,9611.28,9370.44,skill,none,2023-06-24,435564.24,736932.9,216192.62,2025-01-31,2021-08-07,attention,2024-03-18,2024-02-24,6,way,7,1,4,well,think,herself,372236.48,build,can,move,speech,worry,man,1949
factor,within,grow,memory,wish,letter,589.29,2023-01-11,2023-07-22,relationship,government,guy,4878.63,9763.11,himself,country,similar,-67.097442,admit,-122.427453,6750.08,2885.98,beautiful,actually,2021-08-09,617182.19,277819.57,387876.13,2021-10-28,2020-07-25,site,2023-05-16,2021-12-13,1,voice,7,7,7,newspaper,traditional,author,985110.62,their,medical,car,message,expect,professional,2010
benefit,window,Mr,admit,page,prepare,749.93,2024-04-30,2021-05-23,space,board,management,4625.49,4810.4,task,north,century,-29.194335,serve,122.980544,2191.55,844.7,serious,provide,2024-05-17,131661.5,998702.97,518564.85,2020-07-24,2022-05-28,compare,2024-03-15,2025-05-30,1,teach,5,10,5,though,action,find,287654.04,realize,peace,somebody,specific,late,brother,1995
culture,begin,price,source,be,behind,816.21,2022-12-24,2022-05-27,short,able,skill,9906.54,669.31,role,radio,before,-73.680141,mind,-43.48844,6325.81,4462.21,international,couple,2021-12-06,684630.55,250451.22,427394.46,2024-03-21,2021-02-11,her,2022-12-08,2024-02-26,8,month,3,6,7,kind,that,up,427546.69,or,partner,herself,him,growth,kind,1994
change,stage,as,focus,me,throughout,351.78,2024-12-03,2022-04-03,read,including,let,8753.62,9503.8,management,deep,baby,83.095738,effort,-95.464663,6342.29,1871.81,personal,bar,2025-07-22,827207.88,301074.44,139260.69,2022-10-19,2024-04-07,attack,2021-11-03,2023-01-27,5,everyone,5,5,4,lot,project,music,683050.81,reduce,seem,natural,let,catch,check,2020
front,culture,article,strategy,it,conference,200.09,2022-07-13,2023-09-22,of,everything,start,4484.21,5570.7,offer,practice,truth,-29.484347,prevent,-175.570561,6536.85,2429.74,spring,choice,2021-07-03,855295.58,268630.06,449879.4,2024-09-03,2021-10-11,cost,2022-06-21,2021-12-26,5,paper,9,6,7,often,morning,source,269239.16,produce,break,PM,where,wonder,make,1985
nation,several,region,hundred,wonder,increase,803.72,2023-06-22,2021-10-19,red,set,debate,7873.6,192.12,future,see,its,40.279419,grow,51.522611,4961.5,5664.1,adult,lay,2021-09-28,970421.18,21390.98,46151.52,2022-06-13,2025-02-20,may,2021-12-28,2021-05-05,3,another,9,4,2,article,option,either,869568.53,spend,sea,through,party,consumer,else,1938
condition,will,pretty,throw,data,little,642.48,2022-08-16,2023-11-17,race,start,write,3774.06,5247.7,surface,market,call,-43.278895,total,60.152735,9476.7,6702.45,plan,each,2021-10-24,545793.37,645737.24,278847.99,2021-10-03,2021-10-26,law,2022-06-07,2025-05-24,6,loss,4,2,2,must,despite,Mrs,983810.16,door,where,themselves,stand,together,Republican,1903
listen,clearly,record,along,over,popular,341.67,2022-04-23,2021-06-29,coach,seat,exist,3529.66,8670.06,dog,music,positive,16.223994,nothing,136.694291,4728.11,5677.99,suddenly,meet,2022-03-10,811998.87,245429.77,470907.76,2021-05-13,2021-11-15,section,2024-11-08,2025-01-30,9,none,2,1,9,pressure,yard,establish,623341.82,so,top,begin,his,hospital,win,1913
source,be,boy,control,race,learn,25.96,2025-04-18,2021-03-28,difference,food,heart,2381.27,1244.53,as,green,perform,9.183008,upon,70.648406,222.77,3141.26,agree,standard,2025-04-14,906029.82,100226.14,866461.59,2021-01-05,2024-04-30,discussion,2025-02-01,2023-11-10,6,president,3,4,10,base,blue,building,280723.12,big,first,middle,nice,six,special,1951
product,early,organization,bank,phone,wind,395.76,2021-07-07,2023-02-27,help,behavior,that,3456.53,5119.62,thing,position,represent,53.992407,past,-18.008379,5518.1,9487.01,effort,left,2021-11-02,364506.74,972249.24,504169.43,2022-04-20,2021-09-03,American,2020-08-19,2023-01-16,8,by,10,5,2,truth,court,way,414985.39,interest,language,add,itself,company,pressure,1952
public,assume,perform,enter,amount,wait,553.31,2021-09-29,2021-01-23,happen,can,receive,2605.39,4835.77,hard,effect,strategy,82.007522,for,139.003714,9087.0,3798.32,begin,treat,2025-01-15,255161.43,756896.73,739199.18,2024-12-29,2021-05-05,meeting,2023-08-13,2023-10-22,1,section,5,1,6,piece,indeed,same,571275.01,nice,million,population,return,weight,personal,1957
establish,wonder,stage,hold,employee,entire,882.97,2022-05-27,2020-09-02,training,well,personal,2278.75,1612.04,last,mind,building,-86.025756,in,80.423772,1160.62,6005.21,size,student,2023-11-02,593915.71,888314.99,442050.65,2022-02-12,2023-07-24,friend,2022-10-29,2020-08-24,9,stage,10,1,1,western,skin,occur,88838.95,score,heart,move,doctor,reflect,ask,1937
cost,require,true,serious,name,always,397.47,2021-11-01,2023-02-25,need,them,but,3212.86,2651.73,official,such,her,62.02136,wife,-50.615726,4072.65,7638.84,year,must,2021-11-14,190105.28,185869.46,249335.94,2025-02-06,2022-09-17,industry,2022-03-11,2025-01-22,2,bag,7,4,10,find,agreement,set,119694.26,almost,enter,great,probably,dinner,between,1937
minute,public,word,wife,example,draw,303.91,2020-11-11,2023-09-17,economic,before,quality,1648.0,4488.71,story,local,task,-23.067394,answer,-106.163707,8811.03,2870.67,evidence,thing,2022-02-20,599353.03,616305.51,190433.74,2022-12-11,2024-04-14,here,2023-04-27,2024-04-28,5,my,7,10,2,standard,notice,treatment,635927.02,week,conference,onto,seven,such,authority,1907
focus,heavy,prevent,item,four,statement,346.47,2023-02-27,2022-06-28,mother,story,issue,3824.94,9092.21,hold,effect,back,-0.409553,race,49.198622,1968.2,1772.25,particularly,red,2022-05-09,90996.56,497289.11,494925.91,2023-09-01,2022-02-23,something,2021-11-08,2021-07-02,6,hotel,6,6,2,street,week,court,755627.96,purpose,attention,east,adult,camera,some,1910
party,detail,a,concern,few,live,470.21,2024-07-22,2022-04-18,free,foot,job,3634.62,4790.26,officer,specific,put,-66.243037,actually,-149.333535,7780.08,8194.48,down,I,2023-04-09,872463.35,204873.21,986799.23,2023-07-27,2021-04-16,evidence,2023-12-01,2023-06-25,4,wish,8,9,7,some,prevent,nature,192220.46,country,official,interview,week,often,tell,2021
respond,attack,store,late,it,hospital,791.87,2025-04-03,2022-09-17,nearly,local,region,4741.75,8433.41,machine,enter,require,-74.718987,style,103.184523,4626.41,3851.66,federal,way,2022-02-12,517318.29,527044.39,332936.75,2020-08-19,2022-12-28,officer,2025-01-10,2021-12-17,2,movie,2,10,1,meet,quickly,necessary,95768.95,task,place,far,level,three,agent,1902
religious,effort,big,treat,about,window,363.39,2024-11-11,2023-05-07,democratic,event,memory,4094.63,4405.7,reach,most,into,75.398497,available,-145.131109,1224.59,3601.01,success,talk,2022-12-02,511018.63,695728.34,149775.84,2020-10-16,2023-10-28,move,2024-12-01,2020-11-28,3,offer,10,3,9,itself,citizen,include,345228.32,off,measure,part,drop,foot,seek,1907
action,imagine,create,common,young,along,347.76,2020-11-23,2024-02-16,tough,area,everything,6415.83,2439.95,though,more,network,-17.804738,generation,115.39348,3086.43,2678.03,other,sea,2020-08-25,444997.6,478234.1,652142.53,2021-03-04,2022-04-22,son,2021-10-19,2025-01-20,7,various,7,5,6,wind,site,strategy,847072.3,local,would,nature,safe,red,land,1985
newspaper,school,head,speak,soldier,artist,118.1,2024-01-10,2021-04-19,sign,owner,song,3410.63,1381.25,man,community,director,40.647951,sell,76.43309,7662.37,5989.76,pretty,throughout,2022-12-07,632686.05,581924.52,95048.84,2022-11-01,2023-01-18,television,2021-09-09,2024-07-01,7,agent,2,8,5,fall,wife,show,566968.53,candidate,that,sure,news,important,garden,1940
election,American,whose,back,street,war,309.6,2023-02-03,2021-10-10,several,direction,front,5275.32,1990.81,difference,in,dog,-30.440704,experience,-89.793456,7531.63,8661.37,sometimes,themselves,2022-10-07,251880.56,24900.98,120319.3,2023-10-27,2023-03-10,fast,2021-04-23,2025-03-31,1,election,6,4,3,term,reflect,soldier,134838.17,tend,hot,such,no,in,suffer,1933
