identifier_Id,lot_lotnum,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_coolingtype,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
12,12,0.15,5100,POOL,1,Subdivision 1,TX2,1011 Main St,City1,ZIP2-11,ZIP3-11,ROOFTOP,CO11,Condo,Residential,1961,Y,,Electric,1022,1222,1122,972,Actual,1072,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,211,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,111000,111
13,13,0.2,5200,NO POOL,2,Subdivision 2,TX0,1012 Main St,City2,ZIP2-12,ZIP3-12,ROOFTOP,CO12,Single Family,Residential,1962,Y,Central,Gas,1024,1224,1124,974,Actual,1074,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,212,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,112000,112
14,14,0.25,5300,POOL,3,Subdivision 3,TX1,1013 Main St,City3,ZIP2-13,ZIP3-13,ROOFTOP,CO13,Condo,Residential,1963,Y,,Electric,1026,1226,1126,976,Actual,1076,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,213,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,113000,113
15,15,0.3,5400,NO POOL,4,Subdivision 4,TX2,1014 Main St,City4,ZIP2-14,ZIP3-14,ROOFTOP,CO14,Single Family,Residential,1964,Y,Central,Electric,1028,1228,1128,978,Actual,1078,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,214,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,114000,114
16,16,0.35,5500,POOL,5,Subdivision 0,TX0,1015 Main St,City5,ZIP2-15,ZIP3-15,ROOFTOP,CO15,Condo,Residential,1965,Y,,Gas,1030,1230,1130,980,Actual,1080,2,3.0,500,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,215,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,115000,115
17,17,0.4,5600,NO POOL,6,Subdivision 1,TX1,1016 Main St,City6,ZIP2-16,ZIP3-16,ROOFTOP,CO16,Single Family,Residential,1966,Y,Central,Electric,1032,1232,1132,982,Actual,1082,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,216,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,116000,116
18,18,0.45,5700,POOL,7,Subdivision 2,TX2,1017 Main St,City7,ZIP2-17,ZIP3-17,ROOFTOP,CO17,Condo,Residential,1967,Y,,Electric,1034,1234,1134,984,Actual,1084,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,217,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,117000,117
19,19,0.5,5800,NO POOL,8,Subdivision 3,TX0,1018 Main St,City8,ZIP2-18,ZIP3-18,ROOFTOP,CO18,Single Family,Residential,1968,Y,Central,Gas,1036,1236,1136,986,Actual,1086,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,218,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,118000,118
20,20,0.55,5900,POOL,9,Subdivision 4,TX1,1019 Main St,City9,ZIP2-19,ZIP3-19,ROOFTOP,CO19,Condo,Residential,1969,Y,,Electric,1038,1238,1138,988,Actual,1088,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,219,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,119000,119
21,1,0.1,6000,NO POOL,0,Subdivision 0,TX2,1020 Main St,City0,ZIP2-20,ZIP3-20,ROOFTOP,CO20,Single Family,Residential,1970,N,Central,Electric,1040,1240,1140,990,Actual,1090,4,2.5,0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,220,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,120000,120
22,2,0.15,6100,POOL,1,Subdivision 1,TX0,1021 Main St,City1,ZIP2-21,ZIP3-21,ROOFTOP,CO21,Condo,Residential,1971,Y,,Gas,1042,1242,1142,992,Actual,1092,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,221,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,121000,121
23,3,0.2,6200,NO POOL,2,Subdivision 2,TX1,1022 Main St,City2,ZIP2-22,ZIP3-22,ROOFTOP,CO22,Single Family,Residential,1972,Y,Central,Electric,1044,1244,1144,994,Actual,1094,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,222,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,122000,122
24,4,0.25,6300,POOL,3,Subdivision 3,TX2,1023 Main St,City3,ZIP2-23,ZIP3-23,ROOFTOP,CO23,Condo,Residential,1973,Y,,Electric,1046,1246,1146,996,Actual,1096,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,223,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,123000,123
25,5,0.3,6400,NO POOL,4,Subdivision 4,TX0,1024 Main St,City4,ZIP2-24,ZIP3-24,ROOFTOP,CO24,Single Family,Residential,1974,Y,Central,Gas,1048,1248,1148,998,Actual,1098,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,224,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,124000,124
26,6,0.35,6500,POOL,5,Subdivision 0,TX1,1025 Main St,City5,ZIP2-25,ZIP3-25,ROOFTOP,CO25,Condo,Residential,1975,Y,,Electric,1050,1250,1150,1000,Actual,1100,3,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,225,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,125000,125
27,7,0.4,6600,NO POOL,6,Subdivision 1,TX2,1026 Main St,City6,ZIP2-26,ZIP3-26,ROOFTOP,CO26,Single Family,Residential,1976,Y,Central,Electric,1052,1252,1152,1002,Actual,1102,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,226,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,126000,126
28,8,0.45,6700,POOL,7,Subdivision 2,TX0,1027 Main St,City7,ZIP2-27,ZIP3-27,ROOFTOP,CO27,Condo,Residential,1977,Y,,Gas,1054,1254,1154,1004,Actual,1104,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,227,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,127000,127
29,9,0.5,6800,NO POOL,8,Subdivision 3,TX1,1028 Main St,City8,ZIP2-28,ZIP3-28,ROOFTOP,CO28,Single Family,Residential,1978,Y,Central,Electric,1056,1256,1156,1006,Actual,1106,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,228,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,128000,128
30,10,0.55,6900,POOL,9,Subdivision 4,TX2,1029 Main St,City9,ZIP2-29,ZIP3-29,ROOFTOP,CO29,Condo,Residential,1979,Y,,Electric,1058,1258,1158,1008,Actual,1108,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,229,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,129000,129
31,11,0.1,7000,NO POOL,0,Subdivision 0,TX0,1030 Main St,City0,ZIP2-30,ZIP3-30,ROOFTOP,CO30,Single Family,Residential,1980,N,Central,Gas,1060,1260,1160,1010,Actual,1110,2,2.5,500,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,230,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,130000,100
32,12,0.15,7100,POOL,1,Subdivision 1,TX1,1031 Main St,City1,ZIP2-31,ZIP3-31,ROOFTOP,CO31,Condo,Residential,1981,Y,,Electric,1062,1262,1162,1012,Actual,1112,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,231,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,131000,101
33,13,0.2,7200,NO POOL,2,Subdivision 2,TX2,1032 Main St,City2,ZIP2-32,ZIP3-32,ROOFTOP,CO32,Single Family,Residential,1982,Y,Central,Electric,1064,1264,1164,1014,Actual,1114,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,232,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,132000,102
34,14,0.25,7300,POOL,3,Subdivision 3,TX0,1033 Main St,City3,ZIP2-33,ZIP3-33,ROOFTOP,CO33,Condo,Residential,1983,Y,,Gas,1066,1266,1166,1016,Actual,1116,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,233,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,133000,103
35,15,0.3,7400,NO POOL,4,Subdivision 4,TX1,1034 Main St,City4,ZIP2-34,ZIP3-34,ROOFTOP,CO34,Single Family,Residential,1984,Y,Central,Electric,1068,1268,1168,1018,Actual,1118,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,234,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,134000,104
36,16,0.35,7500,POOL,5,Subdivision 0,TX2,1035 Main St,City5,ZIP2-35,ZIP3-35,ROOFTOP,CO35,Condo,Residential,1985,Y,,Electric,1070,1270,1170,1020,Actual,1120,4,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,235,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,135000,105
37,17,0.4,7600,NO POOL,6,Subdivision 1,TX0,1036 Main St,City6,ZIP2-36,ZIP3-36,ROOFTOP,CO36,Single Family,Residential,1986,Y,Central,Gas,1072,1272,1172,1022,Actual,1122,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,236,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,136000,106
38,18,0.45,7700,POOL,7,Subdivision 2,TX1,1037 Main St,City7,ZIP2-37,ZIP3-37,ROOFTOP,CO37,Condo,Residential,1987,Y,,Electric,1074,1274,1174,1024,Actual,1124,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,237,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,137000,107
39,19,0.5,7800,NO POOL,8,Subdivision 3,TX2,1038 Main St,City8,ZIP2-38,ZIP3-38,ROOFTOP,CO38,Single Family,Residential,1988,Y,Central,Electric,1076,1276,1176,1026,Actual,1126,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,238,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,138000,108
40,20,0.55,7900,POOL,9,Subdivision 4,TX0,1039 Main St,City9,ZIP2-39,ZIP3-39,ROOFTOP,CO39,Condo,Residential,1989,Y,,Gas,1078,1278,1178,1028,Actual,1128,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,239,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,139000,109
41,1,0.1,8000,NO POOL,0,Subdivision 0,TX1,1040 Main St,City0,ZIP2-40,ZIP3-40,ROOFTOP,CO40,Single Family,Residential,1990,N,Central,Electric,1080,1280,1180,1030,Actual,1130,3,2.5,0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,240,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,140000,110
42,2,0.15,8100,POOL,1,Subdivision 1,TX2,1041 Main St,City1,ZIP2-41,ZIP3-41,ROOFTOP,CO41,Condo,Residential,1991,Y,,Electric,1082,1282,1182,1032,Actual,1132,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,241,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,141000,111
43,3,0.2,8200,NO POOL,2,Subdivision 2,TX0,1042 Main St,City2,ZIP2-42,ZIP3-42,ROOFTOP,CO42,Single Family,Residential,1992,Y,Central,Gas,1084,1284,1184,1034,Actual,1134,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,242,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,142000,112
44,4,0.25,8300,POOL,3,Subdivision 3,TX1,1043 Main St,City3,ZIP2-43,ZIP3-43,ROOFTOP,CO43,Condo,Residential,1993,Y,,Electric,1086,1286,1186,1036,Actual,1136,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,243,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,143000,113
45,5,0.3,8400,NO POOL,4,Subdivision 4,TX2,1044 Main St,City4,ZIP2-44,ZIP3-44,ROOFTOP,CO44,Single Family,Residential,1994,Y,Central,Electric,1088,1288,1188,1038,Actual,1138,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,244,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,144000,114
46,6,0.35,8500,POOL,5,Subdivision 0,TX0,1045 Main St,City5,ZIP2-45,ZIP3-45,ROOFTOP,CO45,Condo,Residential,1995,Y,,Gas,1090,1290,1190,1040,Actual,1140,2,3.0,500,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,245,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,145000,115
47,7,0.4,8600,NO POOL,6,Subdivision 1,TX1,1046 Main St,City6,ZIP2-46,ZIP3-46,ROOFTOP,CO46,Single Family,Residential,1996,Y,Central,Electric,1092,1292,1192,1042,Actual,1142,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,246,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,146000,116
48,8,0.45,8700,POOL,7,Subdivision 2,TX2,1047 Main St,City7,ZIP2-47,ZIP3-47,ROOFTOP,CO47,Condo,Residential,1997,Y,,Electric,1094,1294,1194,1044,Actual,1144,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,247,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,147000,117
49,9,0.5,8800,NO POOL,8,Subdivision 3,TX0,1048 Main St,City8,ZIP2-48,ZIP3-48,ROOFTOP,CO48,Single Family,Residential,1998,Y,Central,Gas,1096,1296,1196,1046,Actual,1146,2,2.5,0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,248,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,148000,118
50,10,0.55,8900,POOL,9,Subdivision 4,TX1,1049 Main St,City9,ZIP2-49,ZIP3-49,ROOFTOP,CO49,Condo,Residential,1999,Y,,Electric,1098,1298,1198,1048,Actual,1148,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,249,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,149000,119
51,11,0.1,4000,NO POOL,0,Subdivision 0,TX2,1050 Main St,City0,ZIP2-50,ZIP3-0,ROOFTOP,CO50,Single Family,Residential,2000,N,Central,Electric,1100,1300,1200,1050,Actual,1150,4,2.5,500,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,250,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,150000,120
52,12,0.15,4100,POOL,1,Subdivision 1,TX0,1051 Main St,City1,ZIP2-51,ZIP3-1,ROOFTOP,CO51,Condo,Residential,2001,Y,,Gas,1102,1302,1202,1052,Actual,1152,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,251,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,151000,121
53,13,0.2,4200,NO POOL,2,Subdivision 2,TX1,1052 Main St,City2,ZIP2-52,ZIP3-2,ROOFTOP,CO52,Single Family,Residential,2002,Y,Central,Electric,1104,1304,1204,1054,Actual,1154,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,252,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,152000,122
54,14,0.25,4300,POOL,3,Subdivision 3,TX2,1053 Main St,City3,ZIP2-53,ZIP3-3,ROOFTOP,CO53,Condo,Residential,2003,Y,,Electric,1106,1306,1206,1056,Actual,1156,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,253,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,153000,123
55,15,0.3,4400,NO POOL,4,Subdivision 4,TX0,1054 Main St,City4,ZIP2-54,ZIP3-4,ROOFTOP,CO54,Single Family,Residential,2004,Y,Central,Gas,1108,1308,1208,1058,Actual,1158,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,254,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,154000,124
56,16,0.35,4500,POOL,5,Subdivision 0,TX1,1055 Main St,City5,ZIP2-55,ZIP3-5,ROOFTOP,CO55,Condo,Residential,2005,Y,,Electric,1110,1310,1210,1060,Actual,1160,3,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,255,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,155000,125
57,17,0.4,4600,NO POOL,6,Subdivision 1,TX2,1056 Main St,City6,ZIP2-56,ZIP3-6,ROOFTOP,CO56,Single Family,Residential,2006,Y,Central,Electric,1112,1312,1212,1062,Actual,1162,4,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,256,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,156000,126
58,18,0.45,4700,POOL,7,Subdivision 2,TX0,1057 Main St,City7,ZIP2-57,ZIP3-7,ROOFTOP,CO57,Condo,Residential,2007,Y,,Gas,1114,1314,1214,1064,Actual,1164,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,257,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,157000,127
59,19,0.5,4800,NO POOL,8,Subdivision 3,TX1,1058 Main St,City8,ZIP2-58,ZIP3-8,ROOFTOP,CO58,Single Family,Residential,2008,Y,Central,Electric,1116,1316,1216,1066,Actual,1166,3,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,258,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,158000,128
60,20,0.55,4900,POOL,9,Subdivision 4,TX2,1059 Main St,City9,ZIP2-59,ZIP3-9,ROOFTOP,CO59,Condo,Residential,2009,Y,,Electric,1118,1318,1218,1068,Actual,1168,4,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,259,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,159000,129
61,1,0.1,5000,NO POOL,0,Subdivision 0,TX0,1060 Main St,City0,ZIP2-60,ZIP3-10,ROOFTOP,CO60,Single Family,Residential,2010,N,Central,Gas,1120,1320,1220,1070,Actual,1170,2,2.5,0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,260,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,160000,100
62,2,0.15,5100,POOL,1,Subdivision 1,TX1,1061 Main St,City1,ZIP2-61,ZIP3-11,ROOFTOP,CO61,Condo,Residential,2011,Y,,Electric,1122,1322,1222,1072,Actual,1172,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,261,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,161000,101
63,3,0.2,5200,NO POOL,2,Subdivision 2,TX2,1062 Main St,City2,ZIP2-62,ZIP3-12,ROOFTOP,CO62,Single Family,Residential,2012,Y,Central,Electric,1124,1324,1224,1074,Actual,1174,4,2.5,500,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,262,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,162000,102
64,4,0.25,5300,POOL,3,Subdivision 3,TX0,1063 Main St,City3,ZIP2-63,ZIP3-13,ROOFTOP,CO63,Condo,Residential,2013,Y,,Gas,1126,1326,1226,1076,Actual,1176,2,3.0,500,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,263,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,163000,103
65,5,0.3,5400,NO POOL,4,Subdivision 4,TX1,1064 Main St,City4,ZIP2-64,ZIP3-14,ROOFTOP,CO64,Single Family,Residential,2014,Y,Central,Electric,1128,1328,1228,1078,Actual,1178,3,2.5,0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,264,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,164000,104
66,6,0.35,5500,POOL,5,Subdivision 0,TX2,1065 Main St,City5,ZIP2-65,ZIP3-15,ROOFTOP,CO65,Condo,Residential,2015,Y,,Electric,1130,1330,1230,1080,Actual,1180,4,3.0,500,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,265,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,165000,105
67,7,0.4,5600,NO POOL,6,Subdivision 1,TX0,1066 Main St,City6,ZIP2-66,ZIP3-16,ROOFTOP,CO66,Single Family,Residential,2016,Y,Central,Gas,1132,1332,1232,1082,Actual,1182,2,2.5,500,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,266,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,166000,106
68,8,0.45,5700,POOL,7,Subdivision 2,TX1,1067 Main St,City7,ZIP2-67,ZIP3-17,ROOFTOP,CO67,Condo,Residential,2017,Y,,Electric,1134,1334,1234,1084,Actual,1184,3,3.0,500,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,267,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,167000,107
